OBS;TAUXCHANGE
5/06/2010;0.7749
5/07/2010;0.7852
5/08/2010;0.7864
5/09/2010;0.7836
5/10/2010;0.7824
5/11/2010;0.7746
5/12/2010;0.7867
5/13/2010;0.79
5/14/2010;0.7939
5/15/2010;0.8024
5/16/2010;0.8088
5/17/2010;0.8091
5/18/2010;0.811
5/19/2010;0.8095
5/20/2010;0.8151
5/21/2010;0.8067
5/22/2010;0.7963
5/23/2010;0.795
5/24/2010;0.7948
5/25/2010;0.8051
5/26/2010;0.8156
5/27/2010;0.8153
5/28/2010;0.813
5/29/2010;0.8101
5/30/2010;0.8145
5/31/2010;0.8146
6/01/2010;0.8128
6/02/2010;0.8178
6/03/2010;0.8181
6/04/2010;0.817
6/05/2010;0.8273
6/06/2010;0.8352
6/07/2010;0.8354
6/08/2010;0.8372
6/09/2010;0.837
6/10/2010;0.8339
6/11/2010;0.8281
6/12/2010;0.8263
6/13/2010;0.8253
6/14/2010;0.8253
6/15/2010;0.8176
6/16/2010;0.815
6/17/2010;0.8125
6/18/2010;0.8099
6/19/2010;0.8078
6/20/2010;0.8082
6/21/2010;0.8065
6/22/2010;0.8073
6/23/2010;0.8135
6/24/2010;0.8147
6/25/2010;0.8118
6/26/2010;0.8113
6/27/2010;0.8081
6/28/2010;0.8081
6/29/2010;0.8107
6/30/2010;0.8191
7/01/2010;0.8163
7/02/2010;0.8089
7/03/2010;0.7975
7/04/2010;0.7955
7/05/2010;0.7955
7/06/2010;0.7977
7/07/2010;0.7937
7/08/2010;0.7935
7/09/2010;0.7895
7/10/2010;0.7898
7/11/2010;0.7908
7/12/2010;0.7909
7/13/2010;0.7947
7/14/2010;0.7917
7/15/2010;0.7858
7/16/2010;0.7792
7/17/2010;0.7726
7/18/2010;0.7731
7/19/2010;0.7732
7/20/2010;0.7723
7/21/2010;0.7738
7/22/2010;0.7795
7/23/2010;0.778
7/24/2010;0.7758
7/25/2010;0.7743
7/26/2010;0.7744
7/27/2010;0.7723
7/28/2010;0.7693
7/29/2010;0.7691
7/30/2010;0.7654
7/31/2010;0.7667
8/01/2010;0.766
8/02/2010;0.7659
8/03/2010;0.7622
8/04/2010;0.7566
8/05/2010;0.7582
8/06/2010;0.7591
8/07/2010;0.7556
