date,TEN,FIVE,ONE
1962M01,4.1,3.99,3.29
1962M02,4,3.77,3.21
1962M03,3.86,3.61,2.97
1962M04,3.86,3.64,3.07
1962M05,3.9,3.66,2.99
1962M06,4,3.76,3.2
1962M07,4.04,3.82,3.33
1962M08,3.96,3.66,3.14
1962M09,3.94,3.66,3.02
1962M10,3.92,3.64,2.97
1962M11,3.92,3.59,3.02
1962M12,3.85,3.56,3.05
1963M01,3.87,3.65,3.03
1963M02,3.94,3.68,3.02
1963M03,3.95,3.71,3.09
1963M04,3.95,3.73,3.11
1963M05,3.96,3.78,3.2
1963M06,4,3.82,3.19
1963M07,4,3.88,3.5
1963M08,4.02,3.93,3.59
1963M09,4.07,3.94,3.59
1963M10,4.15,4.01,3.68
1963M11,4.08,3.99,3.74
1963M12,4.14,4.06,3.83
1964M01,4.15,4.03,3.76
1964M02,4.18,4.1,3.91
1964M03,4.23,4.16,3.94
1964M04,4.22,4.13,3.84
1964M05,4.19,4.03,3.84
1964M06,4.15,4.01,3.78
1964M07,4.19,4.04,3.69
1964M08,4.21,4.07,3.81
1964M09,4.18,4.05,3.84
1964M10,4.16,4.05,3.86
1964M11,4.2,4.13,4.1
1964M12,4.21,4.12,3.99
1965M01,4.19,4.11,3.96
1965M02,4.22,4.16,4.09
1965M03,4.2,4.14,4.03
1965M04,4.21,4.16,4.04
1965M05,4.23,4.15,4.04
1965M06,4.2,4.14,3.96
1965M07,4.22,4.18,4.02
1965M08,4.27,4.22,4.13
1965M09,4.35,4.33,4.36
1965M10,4.41,4.4,4.33
1965M11,4.48,4.47,4.4
1965M12,4.65,4.88,4.96
1966M01,4.69,4.98,4.89
1966M02,5.02,5.03,5.01
1966M03,4.71,4.84,4.9
1966M04,4.79,4.85,4.91
1966M05,4.8,5,5.04
1966M06,4.97,5.09,5.05
1966M07,5.05,5.26,5.24
1966M08,5.36,5.68,5.84
1966M09,5.02,5.34,5.62
1966M10,4.97,5.22,5.5
1966M11,5.12,5.28,5.45
1966M12,4.64,4.8,5
1967M01,4.52,4.67,4.62
1967M02,4.72,4.78,4.76
1967M03,4.5,4.42,4.13
1967M04,4.78,4.72,4.14
1967M05,4.81,4.72,4.18
1967M06,5.22,5.35,4.97
1967M07,5.16,5.12,5.05
1967M08,5.27,5.34,5.2
1967M09,5.31,5.38,5.27
1967M10,5.64,5.72,5.47
1967M11,5.74,5.77,5.65
1967M12,5.7,5.78,5.76
1968M01,5.54,5.55,5.36
1968M02,5.56,5.57,5.43
1968M03,5.76,5.76,5.59
1968M04,5.74,5.96,6
1968M05,5.86,5.97,6.06
1968M06,5.64,5.79,5.91
1968M07,5.39,5.5,5.5
1968M08,5.42,5.48,5.43
1968M09,5.49,5.48,5.44
1968M10,5.61,5.57,5.66
1968M11,5.78,5.72,5.78
1968M12,6.16,6.33,6.46
1969M01,6.19,6.3,6.41
1969M02,6.26,6.44,6.47
1969M03,6.3,6.36,6.27
1969M04,6.2,6.37,6.26
1969M05,6.56,6.69,6.64
1969M06,6.73,6.98,7.58
1969M07,6.66,6.98,7.57
1969M08,6.83,7.13,7.64
1969M09,7.51,8.02,8.01
1969M10,6.94,7.33,7.58
1969M11,7.29,7.61,8.04
1969M12,7.88,8.22,8.32
1970M01,7.75,8.27,8.15
1970M02,6.9,7.31,7.11
1970M03,7.08,7.24,6.9
1970M04,7.82,7.95,7.72
1970M05,7.95,7.83,7.65
1970M06,7.68,7.77,7.4
1970M07,7.38,7.58,7
1970M08,7.49,7.45,6.84
1970M09,7.29,7.18,6.58
1970M10,7.33,7.04,6.29
1970M11,6.49,5.99,5.06
1970M12,6.5,5.98,4.98
1971M01,6.09,5.78,4.23
1971M02,6.14,5.36,3.69
1971M03,5.53,5.06,3.92
1971M04,6.08,6.08,4.77
1971M05,6.38,6.24,5.13
1971M06,6.7,6.86,6.24
1971M07,6.85,6.96,6.18
1971M08,6.28,6.07,5.28
1971M09,6,6.06,5.27
1971M10,5.87,5.78,4.64
1971M11,5.93,5.84,4.76
1971M12,5.89,5.5,4.46
1972M01,6.09,5.75,4.36
1972M02,6.04,5.68,4.34
1972M03,6.12,6.1,5.11
1972M04,6.14,5.89,4.61
1972M05,6.05,5.79,4.64
1972M06,6.15,6,5.15
1972M07,6.12,5.98,4.82
1972M08,6.42,6.21,5.4
1972M09,6.54,6.18,5.61
1972M10,6.41,6.2,5.44
1972M11,6.28,6.12,5.35
1972M12,6.41,6.26,5.68
1973M01,6.54,6.45,6.09
1973M02,6.64,6.73,6.43
1973M03,6.73,6.81,7.09
1973M04,6.7,6.73,6.8
1973M05,6.93,6.78,7.16
1973M06,6.94,6.9,7.74
1973M07,7.43,7.87,8.87
1973M08,7.25,7.28,8.47
1973M09,6.9,6.72,7.5
1973M10,6.71,6.8,7.21
1973M11,6.69,6.77,7.28
1973M12,6.9,6.83,7.3
1974M01,7,6.91,7.12
1974M02,7.01,6.98,7.16
1974M03,7.41,7.65,8.36
1974M04,7.66,8.21,8.99
1974M05,7.52,8.06,8.71
1974M06,7.64,8.33,8.87
1974M07,7.89,8.46,9
1974M08,8.11,8.63,9.73
1974M09,7.94,8.05,8.21
1974M10,7.79,7.94,7.93
1974M11,7.64,7.56,7.66
1974M12,7.4,7.36,7.35
1975M01,7.53,7.34,6.36
1975M02,7.46,7.13,6.01
1975M03,8.01,7.5,6.36
1975M04,8.31,8.12,6.88
1975M05,8.04,7.61,6.08
1975M06,7.96,7.82,6.85
1975M07,8.2,8.07,7.38
1975M08,8.22,8.16,7.56
1975M09,8.48,8.42,7.83
1975M10,7.91,7.66,6.27
1975M11,8.14,7.9,6.68
1975M12,7.76,7.5,6.16
1976M01,7.8,7.43,5.65
1976M02,7.77,7.46,6.21
1976M03,7.66,7.39,6.11
1976M04,7.67,7.34,6.14
1976M05,7.96,7.78,6.75
1976M06,7.86,7.58,6.46
1976M07,7.86,7.47,6.12
1976M08,7.66,7.16,5.9
1976M09,7.55,7.05,5.78
1976M10,7.42,6.78,5.5
1976M11,7.01,6.05,4.95
1976M12,6.81,6.13,4.86
1977M01,7.4,6.83,5.56
1977M02,7.45,6.98,5.56
1977M03,7.42,6.94,5.4
1977M04,7.45,6.9,5.6
1977M05,7.38,6.87,5.86
1977M06,7.2,6.7,5.72
1977M07,7.42,7.03,6.22
1977M08,7.28,6.94,6.36
1977M09,7.41,7.11,6.66
1977M10,7.62,7.44,7.05
1977M11,7.55,7.36,6.92
1977M12,7.78,7.54,6.98
1978M01,7.94,7.72,7.26
1978M02,8.04,7.86,7.32
1978M03,8.15,7.97,7.48
1978M04,8.24,8.09,7.7
1978M05,8.42,8.28,7.94
1978M06,8.62,8.5,8.38
1978M07,8.56,8.46,8.33
1978M08,8.39,8.42,8.48
1978M09,8.56,8.5,8.81
1978M10,8.96,9.16,9.92
1978M11,8.86,8.94,10.09
1978M12,9.15,9.32,10.57
1979M01,8.95,8.95,10.13
1979M02,9.17,9.29,10.33
1979M03,9.11,9.19,10.17
1979M04,9.35,9.35,10.29
1979M05,9.06,9.04,9.91
1979M06,8.81,8.74,9.4
1979M07,9.01,8.99,9.75
1979M08,9.24,9.36,10.4
1979M09,9.44,9.48,10.8
1979M10,10.72,11.2,12.89
1979M11,10.38,10.44,11.88
1979M12,10.33,10.38,11.7
1980M01,11.13,11.11,12.4
1980M02,12.72,13.48,15.45
1980M03,12.64,13.31,15.8
1980M04,10.76,10.82,11.12
1980M05,10.25,9.87,8.83
1980M06,10.09,9.48,8.49
1980M07,10.76,10.09,9.36
1980M08,11.55,11.66,11.15
1980M09,11.86,11.88,12.29
1980M10,12.46,12.74,13.78
1980M11,12.72,13.14,15.13
1980M12,12.43,12.59,13.86
1981M01,12.68,12.8,14
1981M02,13.43,13.76,14.59
1981M03,13.13,13.39,13.05
1981M04,14.11,14.45,15.33
1981M05,13.5,13.99,14.81
1981M06,13.86,14.25,14.87
1981M07,14.67,15.24,16.12
1981M08,15.41,16.11,16.97
1981M09,15.84,16.27,16.64
1981M10,14.63,14.78,14.31
1981M11,13.13,12.79,11.82
1981M12,13.98,13.97,13.35
1982M01,14.14,14.24,14.04
1982M02,14.03,14.12,14.27
1982M03,14.18,14.39,14.3
1982M04,13.87,13.9,13.67
1982M05,13.71,13.76,12.93
1982M06,14.44,14.65,14.34
1982M07,13.68,13.73,12.56
1982M08,12.81,12.65,11.13
1982M09,11.73,11.69,10.26
1982M10,10.71,10.58,9.21
1982M11,10.79,10.37,9.38
1982M12,10.36,10.09,8.68
1983M01,10.8,10.31,8.91
1983M02,10.27,9.83,8.61
1983M03,10.62,10.27,9.34
1983M04,10.27,9.88,8.75
1983M05,10.81,10.55,9.48
1983M06,10.96,10.76,9.7
1983M07,11.76,11.59,10.48
1983M08,11.98,11.79,10.59
1983M09,11.44,11.2,9.89
1983M10,11.74,11.39,9.82
1983M11,11.63,11.36,9.98
1983M12,11.82,11.57,10.08
1984M01,11.67,11.34,9.85
1984M02,12.04,11.74,10.21
1984M03,12.53,12.28,10.8
1984M04,12.82,12.57,11.11
1984M05,13.91,13.76,12.15
1984M06,13.84,13.72,12.3
1984M07,12.91,12.85,11.86
1984M08,12.79,12.77,11.96
1984M09,12.47,12.48,11.43
1984M10,11.79,11.59,10.26
1984M11,11.58,11.25,9.71
1984M12,11.55,11.08,9.22
1985M01,11.17,10.77,9.09
1985M02,11.91,11.55,9.72
1985M03,11.65,11.29,9.49
1985M04,11.41,10.91,8.99
1985M05,10.28,9.68,7.98
1985M06,10.25,9.65,7.71
1985M07,10.57,9.98,8.12
1985M08,10.28,9.74,8.03
1985M09,10.31,9.73,7.99
1985M10,10.01,9.47,7.92
1985M11,9.59,9.07,7.85
1985M12,9,8.49,7.6
1986M01,9.08,8.53,7.57
1986M02,8.13,7.91,7.43
1986M03,7.39,7.19,6.72
1986M04,7.38,7.17,6.54
1986M05,8.05,7.82,6.88
1986M06,7.35,7.23,6.41
1986M07,7.34,7.02,6.2
1986M08,6.95,6.4,5.52
1986M09,7.45,6.98,5.82
1986M10,7.34,6.76,5.73
1986M11,7.15,6.65,5.76
1986M12,7.23,6.81,5.95
1987M01,7.18,6.71,5.93
1987M02,7.19,6.71,5.9
1987M03,7.51,7.02,6.15
1987M04,8.21,7.82,6.62
1987M05,8.49,8.15,6.88
1987M06,8.38,8.02,6.77
1987M07,8.66,8.21,6.89
1987M08,9,8.52,7.23
1987M09,9.63,9.21,7.92
1987M10,8.88,8.37,6.75
1987M11,8.99,8.43,7
1987M12,8.83,8.33,7.1
1988M01,8.26,7.76,6.66
1988M02,8.16,7.64,6.63
1988M03,8.57,8.04,6.76
1988M04,8.87,8.33,7.14
1988M05,9.2,8.73,7.66
1988M06,8.82,8.41,7.5
1988M07,9.12,8.75,7.9
1988M08,9.25,8.95,8.28
1988M09,8.87,8.61,8.13
1988M10,8.65,8.37,8.06
1988M11,9.06,8.91,8.62
1988M12,9.14,9.14,9.02
1989M01,9.01,9.08,9.04
1989M02,9.32,9.42,9.4
1989M03,9.3,9.53,9.64
1989M04,9.02,9.06,9.12
1989M05,8.6,8.65,8.86
1989M06,8.1,8.03,8.12
1989M07,7.82,7.56,7.65
1989M08,8.26,8.27,8.28
1989M09,8.31,8.36,8.48
1989M10,7.92,7.86,7.88
1989M11,7.84,7.74,7.72
1989M12,7.93,7.86,7.76
1990M01,8.43,8.35,8.08
1990M02,8.51,8.44,8.12
1990M03,8.65,8.65,8.35
1990M04,9.04,9.04,8.58
1990M05,8.6,8.56,8.22
1990M06,8.43,8.35,8.05
1990M07,8.36,8.13,7.72
1990M08,8.86,8.5,7.76
1990M09,8.82,8.47,7.69
1990M10,8.65,8.24,7.43
1990M11,8.26,7.91,7.31
1990M12,8.08,7.68,6.82
1991M01,8.03,7.62,6.51
1991M02,8.02,7.66,6.41
1991M03,8.05,7.73,6.28
1991M04,8.02,7.63,6.06
1991M05,8.06,7.69,6.16
1991M06,8.24,7.9,6.32
1991M07,8.2,7.77,6.19
1991M08,7.82,7.34,5.72
1991M09,7.47,6.92,5.42
1991M10,7.47,6.74,5.1
1991M11,7.38,6.48,4.69
1991M12,6.71,5.93,4.12
1992M01,7.31,6.44,4.23
1992M02,7.27,6.58,4.35
1992M03,7.54,6.94,4.54
1992M04,7.61,6.91,4.4
1992M05,7.33,6.61,4.24
1992M06,7.14,6.29,4.05
1992M07,6.72,5.84,3.62
1992M08,6.62,5.6,3.47
1992M09,6.37,5.33,3.06
1992M10,6.8,5.9,3.54
1992M11,6.95,6.23,3.83
1992M12,6.7,6.04,3.61
1993M01,6.39,5.57,3.39
1993M02,6.03,5.21,3.32
1993M03,6.03,5.24,3.32
1993M04,6.05,5.14,3.26
1993M05,6.16,5.37,3.62
1993M06,5.8,5.05,3.45
1993M07,5.83,5.16,3.53
1993M08,5.45,4.8,3.38
1993M09,5.4,4.79,3.39
1993M10,5.43,4.83,3.47
1993M11,5.83,5.15,3.65
1993M12,5.83,5.21,3.63
1994M01,5.7,5.02,3.53
1994M02,6.15,5.6,4.03
1994M03,6.77,6.23,4.5
1994M04,7.06,6.64,5.07
1994M05,7.17,6.77,5.38
1994M06,7.34,6.97,5.51
1994M07,7.12,6.73,5.37
1994M08,7.19,6.81,5.56
1994M09,7.62,7.28,5.96
1994M10,7.81,7.48,6.18
1994M11,7.91,7.79,6.91
1994M12,7.84,7.83,7.2
1995M01,7.6,7.54,6.84
1995M02,7.22,7.06,6.44
1995M03,7.2,7.08,6.49
1995M04,7.07,6.88,6.32
1995M05,6.3,6.08,5.8
1995M06,6.21,5.98,5.65
1995M07,6.45,6.16,5.67
1995M08,6.28,6.07,5.65
1995M09,6.17,6.01,5.65
1995M10,6.03,5.81,5.55
1995M11,5.76,5.53,5.36
1995M12,5.58,5.38,5.18
1996M01,5.6,5.25,4.9
1996M02,6.13,5.73,5.23
1996M03,6.34,6.1,5.41
1996M04,6.66,6.4,5.62
1996M05,6.85,6.64,5.77
1996M06,6.73,6.47,5.7
1996M07,6.8,6.57,5.85
1996M08,6.96,6.73,5.91
1996M09,6.72,6.46,5.71
1996M10,6.37,6.1,5.44
1996M11,6.06,5.84,5.38
1996M12,6.43,6.21,5.51
1997M01,6.53,6.26,5.58
1997M02,6.56,6.39,5.67
1997M03,6.92,6.77,6.02
1997M04,6.72,6.57,5.9
1997M05,6.67,6.51,5.78
1997M06,6.51,6.4,5.67
1997M07,6.02,5.9,5.45
1997M08,6.34,6.22,5.59
1997M09,6.12,6,5.47
1997M10,5.84,5.72,5.36
1997M11,5.86,5.83,5.52
1997M12,5.75,5.71,5.51
1998M01,5.53,5.39,5.24
1998M02,5.62,5.59,5.41
1998M03,5.67,5.64,5.41
1998M04,5.68,5.65,5.4
1998M05,5.56,5.56,5.42
1998M06,5.44,5.47,5.38
1998M07,5.5,5.52,5.38
1998M08,5.05,4.91,4.95
1998M09,4.44,4.23,4.41
1998M10,4.64,4.24,4.18
1998M11,4.74,4.51,4.53
1998M12,4.65,4.56,4.53
1999M01,4.66,4.55,4.51
1999M02,5.29,5.21,4.88
1999M03,5.25,5.12,4.72
1999M04,5.36,5.24,4.78
1999M05,5.64,5.6,4.97
1999M06,5.81,5.67,5.07
1999M07,5.92,5.82,5.13
1999M08,5.98,5.88,5.3
1999M09,5.9,5.78,5.22
1999M10,6.02,5.97,5.43
1999M11,6.18,6.11,5.7
1999M12,6.45,6.36,5.98
2000M01,6.68,6.71,6.3
2000M02,6.42,6.61,6.2
2000M03,6.03,6.32,6.28
2000M04,6.23,6.56,6.24
2000M05,6.29,6.54,6.37
2000M06,6.03,6.18,6.08
2000M07,6.04,6.16,6.07
2000M08,5.73,5.98,6.22
2000M09,5.8,5.85,6.07
2000M10,5.77,5.83,6.12
2000M11,5.48,5.42,5.92
2000M12,5.12,4.99,5.32
2001M01,5.19,4.85,4.6
2001M02,4.92,4.7,4.47
2001M03,4.93,4.62,4.09
2001M04,5.35,4.97,3.94
2001M05,5.43,4.94,3.63
2001M06,5.42,4.97,3.72
2001M07,5.07,4.57,3.53
2001M08,4.85,4.46,3.41
2001M09,4.6,3.93,2.49
2001M10,4.3,3.66,2.07
2001M11,4.78,4.08,2.06
2001M12,5.07,4.38,2.17
2002M01,5.07,4.42,2.29
2002M02,4.88,4.27,2.25
2002M03,5.42,4.91,2.7
2002M04,5.11,4.53,2.35
2002M05,5.08,4.37,2.34
2002M06,4.86,4.09,2.06
2002M07,4.51,3.53,1.8
2002M08,4.14,3.22,1.74
2002M09,3.63,2.63,1.53
2002M10,3.93,2.81,1.46
2002M11,4.22,3.28,1.56
2002M12,3.83,2.78,1.32
2003M01,4,3.02,1.31
2003M02,3.71,2.69,1.24
2003M03,3.83,2.78,1.19
2003M04,3.89,2.85,1.22
2003M05,3.37,2.3,1.13
2003M06,3.54,2.46,1.09
2003M07,4.49,3.38,1.28
2003M08,4.45,3.46,1.35
2003M09,3.96,2.85,1.15
2003M10,4.33,3.27,1.31
2003M11,4.34,3.38,1.39
2003M12,4.27,3.25,1.26
2004M01,4.16,3.17,1.28
2004M02,3.99,3.01,1.21
2004M03,3.86,2.8,1.2
2004M04,4.53,3.63,1.55
2004M05,4.66,3.81,1.83
2004M06,4.62,3.81,2.09
2004M07,4.5,3.71,2.13
2004M08,4.13,3.33,1.99
2004M09,4.14,3.38,2.21
2004M10,4.05,3.3,2.28
2004M11,4.36,3.72,2.63
2004M12,4.24,3.63,2.75
2005M01,4.14,3.71,2.96
2005M02,4.36,4,3.2
2005M03,4.5,4.18,3.35
2005M04,4.21,3.9,3.33
2005M05,4,3.76,3.32
2005M06,3.94,3.72,3.45
2005M07,4.28,4.12,3.8
2005M08,4.02,3.87,3.77
2005M09,4.34,4.18,4.01
2005M10,4.57,4.45,4.31
2005M11,4.49,4.42,4.34
2005M12,4.39,4.35,4.38
2006M01,4.53,4.47,4.58
2006M02,4.55,4.61,4.73
2006M03,4.86,4.82,4.82
2006M04,5.07,4.92,4.9
2006M05,5.12,5.04,5.07
2006M06,5.15,5.1,5.21
2006M07,4.99,4.91,5.11
2006M08,4.74,4.7,5.01
2006M09,4.64,4.59,4.91
2006M10,4.61,4.57,4.99
2006M11,4.46,4.45,4.94
2006M12,4.71,4.7,5
2007M01,4.83,4.82,5.09
2007M02,4.56,4.52,4.96
2007M03,4.65,4.54,4.9
2007M04,4.63,4.51,4.89
2007M05,4.9,4.86,4.95
2007M06,5.03,4.92,4.91
2007M07,4.78,4.6,4.85
2007M08,4.54,4.25,4.19
2007M09,4.59,4.23,4.05
2007M10,4.48,4.16,4.04
2007M11,3.97,3.41,3.26
2007M12,4.04,3.45,3.34
2008M01,3.67,2.82,2.11
2008M02,3.53,2.5,1.77
2008M03,3.45,2.46,1.55
2008M04,3.77,3.03,1.85
2008M05,4.06,3.41,2.22
2008M06,3.99,3.34,2.36
2008M07,3.99,3.25,2.27
2008M08,3.83,3.1,2.17
2008M09,3.85,2.98,1.78
2008M10,4.01,2.8,1.34
2008M11,2.93,1.93,0.9
2008M12,2.25,1.55,0.37
2009M01,2.87,1.85,0.51
2009M02,3.02,1.99,0.72
2009M03,2.71,1.67,0.57
2009M04,3.16,2.02,0.49
2009M05,3.47,2.34,0.47
2009M06,3.53,2.54,0.56
2009M07,3.52,2.53,0.48
2009M08,3.4,2.39,0.43
2009M09,3.31,2.31,0.4
2009M10,3.41,2.31,0.37
2009M11,3.21,2.01,0.27
2009M12,3.85,2.69,0.47
2010M01,3.63,2.34,0.3
2010M02,3.61,2.3,0.32
2010M03,3.84,2.55,0.41
2010M04,3.69,2.43,0.41
2010M05,3.31,2.1,0.34
2010M06,2.97,1.79,0.32
2010M07,2.94,1.6,0.29
2010M08,2.47,1.33,0.25
2010M09,2.53,1.27,0.27
2010M10,2.63,1.17,0.22
2010M11,2.81,1.47,0.27
2010M12,3.3,2.01,0.29
2011M01,3.42,1.95,0.26
2011M02,3.42,2.13,0.25
2011M03,3.47,2.24,0.3
2011M04,3.32,1.97,0.22
2011M05,3.05,1.68,0.18
2011M06,3.18,1.76,0.19
2011M07,2.82,1.35,0.2
2011M08,2.23,0.96,0.1
2011M09,1.92,0.96,0.13
2011M10,2.17,0.99,0.12
2011M11,2.08,0.96,0.12
2011M12,1.89,0.83,0.12
2012M01,1.83,0.71,0.13
2012M02,1.98,0.87,0.18
2012M03,2.23,1.04,0.19
2012M04,1.95,0.82,0.2
2012M05,1.59,0.67,0.18
2012M06,1.67,0.72,0.21
2012M07,1.51,0.6,0.16
2012M08,1.65,0.71,0.19
