date;FEDRATE;LRGDP;LRM
1959Q1;2.57;2.3;2.8
1959Q2;3.083;2.3;2.9
1959Q3;3.577;2.3;2.9
1959Q4;3.99;2.3;2.9
1960Q1;3.933;2.3;2.9
1960Q2;3.697;2.3;2.9
1960Q3;2.937;2.3;2.9
1960Q4;2.297;2.3;2.9
1961Q1;2.003;2.4;2.9
1961Q2;1.733;2.4;2.9
1961Q3;1.683;2.4;2.9
1961Q4;2.4;2.4;2.9
1962Q1;2.457;2.4;2.9
1962Q2;2.607;2.4;3
1962Q3;2.847;2.5;3
1962Q4;2.923;2.5;3
1963Q1;2.967;2.5;3
1963Q2;2.963;2.5;3
1963Q3;3.33;2.5;3
1963Q4;3.453;2.5;3
1964Q1;3.463;2.6;3
1964Q2;3.49;2.6;3.1
1964Q3;3.457;2.6;3.1
1964Q4;3.577;2.6;3.1
1965Q1;3.973;2.6;3.1
1965Q2;4.077;2.6;3.1
1965Q3;4.073;2.7;3.1
1965Q4;4.167;2.7;3.2
1966Q1;4.557;2.7;3.2
1966Q2;4.913;2.7;3.2
1966Q3;5.41;2.7;3.2
1966Q4;5.563;2.7;3.2
1967Q1;4.823;2.7;3.2
1967Q2;3.99;2.7;3.2
1967Q3;3.893;2.7;3.2
1967Q4;4.173;2.7;3.2
1968Q1;4.787;2.7;3.2
1968Q2;5.98;2.7;3.3
1968Q3;5.943;2.8;3.3
1968Q4;5.917;2.8;3.3
1969Q1;6.567;2.8;3.3
1969Q2;8.327;2.8;3.3
1969Q3;8.983;2.8;3.3
1969Q4;8.94;2.7;3.3
1970Q1;8.573;2.7;3.3
1970Q2;7.88;2.7;3.3
1970Q3;6.703;2.7;3.3
1970Q4;5.567;2.8;3.3
1971Q1;3.857;2.8;3.3
1971Q2;4.563;2.8;3.3
1971Q3;5.473;2.8;3.3
1971Q4;4.75;2.8;3.3
1972Q1;3.54;2.9;3.4
1972Q2;4.3;2.9;3.4
1972Q3;4.74;2.9;3.4
1972Q4;5.143;2.9;3.4
1973Q1;6.537;2.9;3.4
1973Q2;7.817;2.9;3.4
1973Q3;10.56;2.9;3.4
1973Q4;9.997;2.9;3.4
1974Q1;9.323;2.9;3.4
1974Q2;11.25;2.9;3.4
1974Q3;12.09;2.9;3.4
1974Q4;9.347;2.9;3.4
1975Q1;6.303;2.9;3.4
1975Q2;5.42;2.9;3.4
1975Q3;6.16;2.9;3.4
1975Q4;5.413;2.9;3.4
1976Q1;4.827;2.9;3.5
1976Q2;5.197;2.9;3.5
1976Q3;5.283;3;3.5
1976Q4;4.873;3;3.5
1977Q1;4.66;3;3.5
1977Q2;5.157;3;3.5
1977Q3;5.82;3;3.5
1977Q4;6.513;3;3.5
1978Q1;6.757;3;3.5
1978Q2;7.283;3;3.6
1978Q3;8.1;3;3.6
1978Q4;9.583;3;3.6
1979Q1;10.073;3;3.6
1979Q2;10.18;3;3.6
1979Q3;10.947;3;3.6
1979Q4;13.577;3;3.5
1980Q1;15.047;2.9;3.5
1980Q2;12.687;2.9;3.5
1980Q3;9.837;2.9;3.5
1980Q4;15.853;2.9;3.5
1981Q1;16.57;2.9;3.5
1981Q2;17.78;2.9;3.5
1981Q3;17.577;2.9;3.5
1981Q4;13.587;2.9;3.5
1982Q1;14.227;2.9;3.5
1982Q2;14.513;2.9;3.5
1982Q3;11.007;2.9;3.5
1982Q4;9.287;3;3.5
1983Q1;8.653;3;3.5
1983Q2;8.803;3;3.6
1983Q3;9.46;3;3.6
1983Q4;9.43;3;3.6
1984Q1;9.687;3.1;3.6
1984Q2;10.557;3.1;3.6
1984Q3;11.39;3.1;3.6
1984Q4;9.267;3.1;3.6
1985Q1;8.477;3.1;3.7
1985Q2;7.923;3.1;3.7
1985Q3;7.9;3.1;3.7
1985Q4;8.103;3.1;3.7
1986Q1;7.827;3.1;3.7
1986Q2;6.92;3.2;3.7
1986Q3;6.207;3.2;3.7
1986Q4;6.267;3.2;3.7
1987Q1;6.22;3.2;3.7
1987Q2;6.65;3.2;3.7
1987Q3;6.843;3.2;3.7
1987Q4;6.917;3.2;3.7
1988Q1;6.663;3.2;3.7
1988Q2;7.157;3.2;3.8
1988Q3;7.983;3.2;3.8
1988Q4;8.47;3.2;3.8
1989Q1;9.443;3.2;3.8
1989Q2;9.727;3.2;3.8
1989Q3;9.083;3.2;3.8
1989Q4;8.613;3.2;3.8
1990Q1;8.25;3.2;3.8
1990Q2;8.243;3.2;3.8
1990Q3;8.16;3.2;3.8
1990Q4;7.743;3.2;3.8
1991Q1;6.427;3.2;3.8
1991Q2;5.863;3.2;3.8
1991Q3;5.643;3.2;3.8
1991Q4;4.817;3.2;3.8
1992Q1;4.023;3.2;3.8
1992Q2;3.77;3.2;3.8
1992Q3;3.257;3.2;3.8
1992Q4;3.037;3.2;3.8
1993Q1;3.04;3.2;3.8
1993Q2;3;3.2;3.8
1993Q3;3.06;3.2;3.8
1993Q4;2.99;3.2;3.8
1994Q1;3.213;3.2;3.9
1994Q2;3.94;3.2;3.9
1994Q3;4.487;3.2;3.9
1994Q4;5.167;3.1;3.9
1995Q1;5.81;3.1;3.9
1995Q2;6.02;3.1;3.9
1995Q3;5.797;3.2;3.9
1995Q4;5.72;3.2;3.9
1996Q1;5.363;3.2;3.9
1996Q2;5.243;3.2;3.9
1996Q3;5.307;3.2;3.9
1996Q4;5.28;3.2;3.9
1997Q1;5.277;3.2;3.9
1997Q2;5.523;3.2;3.9
1997Q3;5.533;3.2;4
1997Q4;5.507;3.2;4
1998Q1;5.52;3.2;4
1998Q2;5.5;3.2;4
1998Q3;5.533;3.3;4
1998Q4;4.86;3.3;4
1999Q1;4.733;3.3;4
1999Q2;4.747;3.3;4
1999Q3;5.093;3.3;4
1999Q4;5.307;3.3;4
2000Q1;5.677;3.3;4
2000Q2;6.273;3.3;4.1
2000Q3;6.52;3.3;4.1
2000Q4;6.473;3.3;4.1
2001Q1;5.593;3.4;4.1
2001Q2;4.327;3.4;4.1
2001Q3;3.497;3.4;4.1
2001Q4;2.133;3.4;4.1
2002Q1;1.733;3.4;4.1
2002Q2;1.75;3.4;4.1
2002Q3;1.74;3.4;4.1
2002Q4;1.443;3.5;4.1
2003Q1;1.25;3.5;4.1
2003Q2;1.247;3.5;4.1
2003Q3;1.017;3.5;4.1
2003Q4;0.997;3.5;4.1
2004Q1;1.003;3.5;4.1
2004Q2;1.013;3.5;4.1
2004Q3;1.44;3.5;4.1
2004Q4;1.947;3.5;4.1
